,Experiment,Metric,Run Type,Count,Mean,Median,Std Dev,Min,Max
0,DNase-seq,depth,,,26.480410801850756,26.843483943289815,1.3582277030179446,23.405633345032374,29.524341817416634
1,DNase-seq,coverage,,,0.44088091104889704,0.4177626845850991,0.1858670080944976,0.07939255589662722,0.9016085199130361
2,DNase-seq,read_length,,,52.9404990403071,36.0,23.818054550942016,20.0,150.0
3,DNase-seq,run_type,paired-ended,1021.0,,,,,
4,DNase-seq,run_type,single-ended,542.0,,,,,
5,H3K27me3,depth,,,24.875027061823804,24.947350953735054,1.0629191291859639,20.886661864045095,27.334491394508632
6,H3K27me3,coverage,,,0.49019527645701916,0.48214047332738397,0.2387899281953526,0.05718841454450983,0.9061279712929149
7,H3K27me3,read_length,,,57.375,50.0,21.474974175655493,28.0,101.0
8,H3K27me3,run_type,single-ended,533.0,,,,,
9,H3K27me3,run_type,paired-ended,35.0,,,,,
10,H3K36me3,depth,,,24.80334481921444,24.77634532607879,1.1101592921168393,20.930276779100186,27.200971583453335
11,H3K36me3,coverage,,,0.4425461900677987,0.38510340340226323,0.23991591388082922,0.047717408003831556,0.9017915674842816
12,H3K36me3,read_length,,,54.68391866913124,36.0,21.120679133185792,30.0,100.0
13,H3K36me3,run_type,single-ended,505.0,,,,,
14,H3K36me3,run_type,paired-ended,36.0,,,,,
15,H3K9ac,depth,,,24.30345849223017,24.4885394810807,0.9124356097581429,21.973828720520206,26.490448881866698
16,H3K9ac,coverage,,,0.31069365420070916,0.3027778963884103,0.14928419398314136,0.05827905408821075,0.6636836530188411
17,H3K9ac,read_length,,,43.56382978723404,36.0,14.374222281006844,28.0,76.0
18,H3K9ac,run_type,single-ended,188.0,,,,,
19,H3K27ac,depth,,,24.854994343698177,24.946436015028958,0.9333111460715171,20.946912697915696,27.50869095451789
20,H3K27ac,coverage,,,0.4332770580004862,0.4648940195142584,0.20399621980488428,0.05029873919541565,0.8909596348721814
21,H3K27ac,read_length,,,61.61245674740484,76.0,21.673864090693,30.0,101.0
22,H3K27ac,run_type,single-ended,519.0,,,,,
23,H3K27ac,run_type,paired-ended,59.0,,,,,
24,H3K4me3,depth,,,24.57571255579976,24.633126021787277,0.9422054871024773,20.164264932616486,27.50869095451789
25,H3K4me3,coverage,,,0.3529056267225766,0.3273485666116529,0.2109471911075168,0.01730048225071592,0.8781201340228574
26,H3K4me3,read_length,,,54.72282608695652,36.0,20.937453975346532,28.0,100.0
27,H3K4me3,run_type,single-ended,699.0,,,,,
28,H3K4me3,run_type,paired-ended,37.0,,,,,
29,H3K4me1,depth,,,24.958294388726067,24.98412346058302,1.0742228430552556,20.886166172347792,27.186324592793575
