,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
0,ENCBS000UPK,,,,,,ENCSR977UMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ENCBS000VYM,,,,,,ENCSR218FSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ENCBS001PEH,,,,,,,,,,,,,,,,,,,,,,ENCSR526RGE,ENCSR047AFY,ENCSR312NYS,,ENCSR481QER,,ENCSR194MJA,,,,,,,ENCSR566ZFQ,,,,,,,,,,,,,,,
3,ENCBS002SWL,,,,,,ENCSR696LPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ENCBS003DOL,ENCSR552QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ENCBS003ENC,,,,,,ENCSR000ELX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ENCBS003HWJ,ENCSR032RGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ENCBS003JOU,,,,,,ENCSR938UOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ENCBS003XXD,ENCSR452COS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ENCBS004CRM,ENCSR566LZT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ENCBS004CWA,,,,,,,,,,,,ENCSR900EUT,,ENCSR297AUZ,,,,,ENCSR565XTT,,,ENCSR473PNT,ENCSR405AXO,,,,,,,,,,,,,,,,,ENCSR721MPV,,,,,,,,,,
11,ENCBS004ENC,,ENCSR000CJW,,ENCSR000DPM,,ENCSR000ELY,,,,,,,,,,,,,,,,ENCSR000DPL,ENCSR000DPK,,,,,ENCSR000DPO,,,,,,,ENCSR000DPJ,,,,,,,,,,,,,,,
12,ENCBS004MHU,ENCSR419UYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ENCBS004QBB,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DRX,ENCSR000DRW,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ENCBS005ENC,,,,,,ENCSR000ELZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ENCBS005EPJ,,,,,,ENCSR879XUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ENCBS006TBC,,,,,,ENCSR332BSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ENCBS006TYP,ENCSR637OPZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ENCBS006VZG,,,,,,,,,,,,,,,,,,,,,,ENCSR447ZGY,,ENCSR243AIS,,ENCSR060WGK,,ENCSR005SXO,,,,,,,,,,,,,,,,,,,,,,
19,ENCBS007CJY,,,,,,,,,,,,,,,,,,,,,,,ENCSR355PUX,,,ENCSR401CJA,,ENCSR136QKZ,,,,,,,ENCSR957WQX,,,,,,,,,,,,,,,
20,ENCBS007KEC,,,,,,ENCSR006IJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ENCBS007MVB,,,,,,,,,,,,,,,,,,,,,,ENCSR619POC,ENCSR746ZXP,ENCSR646YBA,,ENCSR473ZFG,,ENCSR320MYR,,,,,,,ENCSR957TGI,,,,,,,,,,,,,,,
22,ENCBS007TSX,,,,,,ENCSR021YFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ENCBS007TVF,,,,,,,,,,ENCSR424ZJH,,ENCSR210RXE,ENCSR523ENE,ENCSR274TJB,ENCSR054IRX,ENCSR248KRU,,ENCSR283STF,,ENCSR942NME,,,,,ENCSR039ZLS,,,,ENCSR066VKQ,ENCSR553OEU,ENCSR713QLX,,ENCSR580LZO,,,,,ENCSR804SRO,,ENCSR444TMC,ENCSR164RFI,,,,,,,,,
24,ENCBS008AOU,,,,,,,,,,,,,,,,,,,,,,,,ENCSR136NUH,,ENCSR279HKO,,ENCSR433PUR,,,,,,,ENCSR104BSN,,,,,,,,,,,,,,,
25,ENCBS008FJR,,,,,,ENCSR114QAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ENCBS008HYR,,,,,,,,,,,,,,,,,,,,,,ENCSR355UYP,ENCSR022LOH,ENCSR736SFP,,ENCSR443NEP,,ENCSR032BMQ,,,,,,,,,,,,,,,,,,,,,,
