,Accession,Age,Age units,Biosample age,Biosample classification,Biosample term name,Biosample treatment,Biosample treatment purpose,Biosample treatment type details,Child biosamples,Culture harvest date,Date obtained,Description,ID,Lab,Life stage,Modification category,Modification method,Modification purpose,Modification site,Modification site introduced gene organism,Modification site target organism,Organism,Post-synchronization time,Post-synchronization time units,Source,Status,Summary,Synchronization,isogenic_replicates
0,ENCBS000UPK,unknown,,,primary cell,"CD4-positive, alpha-beta memory T cell",,,,,,,CD4+ memory CD3+ CD4+ CD8- CD45RA- CD45RO+ nonTreg,/biosamples/ENCBS000UPK/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,David Hafler,released,"Homo sapiens with multiple sclerosis; CD4-positive, alpha-beta memory T primary cell, preserved by cryopreservation",,
1,ENCBS000VYM,1,year,1 year,cell line,WERI-Rb-1,,,,,,,,/biosamples/ENCBS000VYM/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens WERI-Rb-1 cell line,,ENCBS826FLZ
2,ENCBS001PEH,40,week,40 weeks,tissue,placental basal plate,,,,,,,Placenta basal plate tissue from a 40 week healthy female Caucasian fetus. Tissue provided by the Susan Fisher lab at UCSF,/biosamples/ENCBS001PEH/,"Joseph Costello, UCSF",embryonic,,,,,,,Homo sapiens,,,Susan Fisher,released,Homo sapiens female embryo (40 weeks) placental basal plate tissue,,
3,ENCBS002SWL,42,year,42 years,primary cell,"activated CD4-positive, alpha-beta T cell",anti-CD3 and anti-CD28 coated beads,activation,,,,,,/biosamples/ENCBS002SWL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (42 years) activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 4 hours",,
4,ENCBS003DOL,47,year,47 years,tissue,posterior vena cava,,,,,,2017-11-28,,/biosamples/ENCBS003DOL/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (47 years) posterior vena cava tissue, preserved by flash-freezing",,
5,ENCBS003ENC,12,week,12 weeks,cell line,AG04449,,,,,,,fetal buttock/thigh fibroblast,/biosamples/ENCBS003ENC/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG04449 cell line,,ENCBS667XPG
6,ENCBS003HWJ,58,year,58 years,cell line,A549,,,,,,,,/biosamples/ENCBS003HWJ/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens A549 cell line,,"ENCBS024PJA,ENCBS049MEE"
7,ENCBS003JOU,115,day,115 days,tissue,muscle of leg,,,,,,,"Leg muscle tissue from a healthy day 115 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS003JOU/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (115 days) muscle of leg tissue,,
8,ENCBS003XXD,50,year,50 years,primary cell,"naive thymus-derived CD4-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS003XXD/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (50 years) naive thymus-derived CD4-positive, alpha-beta T primary cell",,ENCBS073UMS
9,ENCBS004CRM,unknown,,,in vitro differentiated cells,dendritic cell,lipopolysaccharide,stimulation,,,,2015-12-23,,/biosamples/ENCBS004CRM/,"Manuel Garber, UMass",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens dendritic in vitro differentiated cells treated with lipopolysaccharide,,
10,ENCBS004CWA,unknown,,,in vitro differentiated cells,mesendoderm,,,,,,,H1 cell line treated with 5ng/mL BMP4 and 25ng/mL Activin A in E8 medium for 2 days to differentiate them to mesendoderm cells. Original H1 cells were provided by the Thomson laboratory.,/biosamples/ENCBS004CWA/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens male embryo mesendoderm in vitro differentiated cells originated from H1,,
11,ENCBS004ENC,12,week,12 weeks,cell line,AG04450,,,,,,,fetal lung fibroblast,/biosamples/ENCBS004ENC/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG04450 cell line,,
12,ENCBS004MHU,unknown,,,cell line,GM19025,,,,,2017-01-24,,"GM19025 LCLs; Donor from the Luhya in Webuye, Kenya (LWK)",/biosamples/ENCBS004MHU/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM19025 cell line,,
13,ENCBS004QBB,unknown,,,cell line,GM12878,,,,,,,"B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus",/biosamples/ENCBS004QBB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM12878 cell line,,ENCBS734TTU
14,ENCBS005ENC,21,year,21 years,cell line,AG09309,,,,,,,"adult toe fibroblast from apparently healthy 21 year old, 7% of the cells examined showing random chromosome loss/gain -Coriell",/biosamples/ENCBS005ENC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG09309 cell line,,ENCBS035TPY
15,ENCBS005EPJ,90 or above,year,90 or above years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS005EPJ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) dorsolateral prefrontal cortex tissue,,
16,ENCBS006TBC,87,day,87 days,tissue,right kidney,,,,,,,"Right kidney tissue from a healthy day 87 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS006TBC/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (87 days) right kidney tissue,,
17,ENCBS006TYP,36,year,36 years,primary cell,"stimulated activated naive CD8-positive, alpha-beta T cell","Interleukin-15,anti-CD3 and anti-CD28 coated beads","stimulation,activation",,,,,,/biosamples/ENCBS006TYP/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,"Homo sapiens male adult (36 years) stimulated activated naive CD8-positive, alpha-beta T primary cell treated with 100 ng/mL Interleukin-15 for 72 hours, anti-CD3 and anti-CD28 coated beads for 72 hours",,ENCBS780KMU
18,ENCBS006VZG,48,year,48 years,cell line,OCI-LY7,,,,,2011-07-19,,"established from the peripheral blood sample of a 48-year-old man with B-cell Non-Hodgkin lymphoma (B-NHL, diffuse large cell lymphoma, DLCL, stage 2A, at relapse) in 1984",/biosamples/ENCBS006VZG/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Mark Minden,released,Homo sapiens OCI-LY7 cell line,,ENCBS886BJZ
19,ENCBS007CJY,33,year,33 years,primary cell,"common myeloid progenitor, CD34-positive",,,,,,,CD34+ cells mobilized into peripheral blood from a healthy 33 year old Caucasian female donor. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS007CJY/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (33 years) common myeloid progenitor, CD34-positive primary cell",,
20,ENCBS007KEC,112,day,112 days,tissue,lung,,,,,,,"Fetal lung primary tissue from a healthy day 112 fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS007KEC/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens embryo (112 days) lung tissue,,
21,ENCBS007MVB,38,week,38 weeks,tissue,chorionic villus,,,,,,,Placental Villi tissue from a 38 week healthy male fetus,/biosamples/ENCBS007MVB/,"Joseph Costello, UCSF",embryonic,,,,,,,Homo sapiens,,,Susan Fisher,released,Homo sapiens male embryo (38 weeks) chorionic villus tissue,,
