biosample_name,assay_name,bios_accession,exp_accession,file_accession,assembly,read_length,run_type,sequencing_platform,lab,depth
T_brain_microvascular_endothelial_cell,DNase-seq,ENCBS304AAA,ENCSR000ENE,ENCFF788MPI,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"John Stamatoyannopoulos, UW",32279824.0
T_brain_microvascular_endothelial_cell,H3K4me3,ENCBS304AAA,ENCSR000DTC,ENCFF775JHL,GRCh38,36,single-ended,Illumina Genome Analyzer,"John Stamatoyannopoulos, UW",15418716.0
T_H1-hESC,H3K4me1,ENCBS718AAA,ENCSR000ANA,ENCFF767MGL,GRCh38,36,single-ended,Illumina Genome Analyzer IIe,"Bradley Bernstein, Broad",15400331.0
T_H1-hESC,H4K91ac,ENCBS984IPH,ENCSR858BOF,ENCFF156KJZ,GRCh38,30,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",25160665.0
T_H1-hESC,H2BK120ac,ENCBS534NMZ,ENCSR848DUN,ENCFF372FSW,GRCh38,30,single-ended,Illumina Genome Analyzer II,"Bing Ren, UCSD",17764043.0
T_H1-hESC,H4K5ac,ENCBS368BPP,ENCSR675FLJ,ENCFF431BVU,GRCh38,30,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",29785911.0
T_H1-hESC,DNase-seq,ENCBS474GKG,ENCSR794OFW,ENCFF579KRZ,GRCh38,101,paired-ended,Illumina HiSeq 2000,"John Stamatoyannopoulos, UW",219347316.0
T_H1-hESC,H2AFZ,ENCBS534NMZ,ENCSR571IIS,ENCFF897EWW,GRCh38,30,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",7532039.0
T_H1-hESC,H3K27ac,ENCBS368BPP,ENCSR880SUY,ENCFF693IFG,GRCh38,30,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",9343351.0
T_H1-hESC,H3K9ac,ENCBS055DBZ,ENCSR952GVX,ENCFF986GZQ,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bradley Bernstein, Broad",10572827.0
T_H1-hESC,H3K79me2,ENCBS945MCY,ENCSR301HRV,ENCFF015TSL,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",25662543.0
T_H1-hESC,H4K8ac,ENCBS945MCY,ENCSR891KGZ,ENCFF400BPI,GRCh38,30,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",1451356.0
T_H1-hESC,H3K79me1,ENCBS497CZZ,ENCSR442DGE,ENCFF535GVC,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bing Ren, UCSD",15954258.0
T_H1-hESC,H3K56ac,ENCBS984IPH,ENCSR768FWX,ENCFF782BDE,GRCh38,30,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",19744705.0
T_H1-hESC,H3K4me3,ENCBS253TYD,ENCSR814XPE,ENCFF765FFD,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",50667055.0
T_H1-hESC,H3K4me2,ENCBS945MCY,ENCSR322MEI,ENCFF080SQV,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bing Ren, UCSD",9791512.0
T_H1-hESC,H3K18ac,ENCBS984IPH,ENCSR038PFD,ENCFF176NNO,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bing Ren, UCSD",4362354.0
T_H1-hESC,H2BK5ac,ENCBS945MCY,ENCSR161NON,ENCFF285CHR,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",25620370.0
T_H1-hESC,H3K27me3,ENCBS409PYK,ENCSR928HYM,ENCFF781BZF,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bing Ren, UCSD",9830171.0
T_H1-hESC,H2BK20ac,ENCBS984IPH,ENCSR462XRE,ENCFF712OVK,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bing Ren, UCSD",23380666.0
T_H1-hESC,H2BK12ac,ENCBS945MCY,ENCSR364BKW,ENCFF595KTU,GRCh38,36,single-ended,Illumina Genome Analyzer IIx,"Bing Ren, UCSD",25778081.0
T_H1-hESC,H2BK15ac,ENCBS984IPH,ENCSR739BZR,ENCFF106UCP,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bing Ren, UCSD",24566880.0
T_H1-hESC,H3K36me3,ENCBS055DBZ,ENCSR925LJZ,ENCFF828OZC,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bradley Bernstein, Broad",11061814.0
T_H1-hESC,H3K23me2,ENCBS282MUP,ENCSR326NQF,ENCFF567CRD,GRCh38,36,single-ended,Illumina Genome Analyzer II,"Bing Ren, UCSD",11611730.0
B_DND-41,ATAC-seq,ENCBS013RPN,ENCSR660WSB,ENCFF080WSN,GRCh38,101,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",37959608.0
B_DND-41,DNase-seq,ENCBS518YBY,ENCSR903SKE,ENCFF836RBO,GRCh38,76,paired-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",251070356.0
T_adrenal_gland,H3K9me3,ENCBS078MQQ,ENCSR408ZEW,ENCFF282ZSZ,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",51649886.0
T_adrenal_gland,ATAC-seq,ENCBS063ABX,ENCSR113MBR,ENCFF803TLA,GRCh38,101,paired-ended,Illumina HiSeq 2000,"Michael Snyder, Stanford",133158974.0
T_adrenal_gland,H3K27ac,ENCBS078MQQ,ENCSR177QFY,ENCFF678NDN,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",26767666.0
T_adrenal_gland,H3K36me3,ENCBS078MQQ,ENCSR857XRG,ENCFF129TMJ,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",27411886.0
T_adrenal_gland,H3K4me1,ENCBS078MQQ,ENCSR406PCK,ENCFF346NXC,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",33733425.0
T_adrenal_gland,DNase-seq,ENCBS450CEG,ENCSR191FOV,ENCFF646WNW,GRCh38,76,paired-ended,Illumina HiSeq 2500,"John Stamatoyannopoulos, UW",236409022.0
V_heart_left_ventricle,H3K4me3,ENCBS861XCF,ENCSR901SIL,ENCFF023HCZ,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",98345556.0
T_WERI-Rb-1,H3K4me3,ENCBS087YAE,ENCSR000DXU,ENCFF749HNO,GRCh38,36,single-ended,Illumina Genome Analyzer,"John Stamatoyannopoulos, UW",15119592.0
T_WERI-Rb-1,DNase-seq,ENCBS270AAA,ENCSR000EQL,ENCFF816ZVF,GRCh38,76,single-ended,Illumina Genome Analyzer IIx,"John Stamatoyannopoulos, UW",43370377.0
V_prostate,H3K9me3,ENCBS619YXY,ENCSR133QBG,ENCFF507VEH,GRCh38,76,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",47018228.0
T_CD4-positive_alpha-beta_memory_T_cell,H3K36me3,ENCBS800QLP,ENCSR580WRV,ENCFF489CFC,GRCh38,36,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",30121530.0
