biosample_name,assay_name,bios_accession,exp_accession,file_accession,assembly,read_length,run_type,sequencing_platform,lab,depth
right_lobe_of_liver_nonrep,H3K36me3,ENCBS025MJZ,ENCSR400GCO,ENCFF573KOA,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",52290025.0
right_lobe_of_liver_nonrep,H3K9me3,ENCBS025MJZ,ENCSR511ICH,ENCFF673JAY,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",58891439.0
right_lobe_of_liver_nonrep,H3K4me1,ENCBS025MJZ,ENCSR589JCY,ENCFF600FZM,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",54746103.0
right_lobe_of_liver_nonrep,H3K27ac,ENCBS025MJZ,ENCSR779ISJ,ENCFF889BTS,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",41550354.0
right_lobe_of_liver_nonrep,DNase-seq,ENCBS129TCL,ENCSR909HFI,ENCFF520UZZ,GRCh38,76.0,paired-ended,Illumina HiSeq 4000,"John Stamatoyannopoulos, UW",264743918.0
right_lobe_of_liver_nonrep,ATAC-seq,ENCBS904HZU,ENCSR373TDL,ENCFF205LVV,GRCh38,101.0,paired-ended,Illumina HiSeq 4000,"Michael Snyder, Stanford",79256392.0
right_lobe_of_liver_nonrep,CTCF,ENCBS025MJZ,ENCSR000VGD,ENCFF886EVS,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",41006078.0
right_lobe_of_liver_nonrep,H3K4me3,ENCBS025MJZ,ENCSR249KTU,ENCFF867PZI,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",42076233.0
right_lobe_of_liver_nonrep,H3K27me3,ENCBS025MJZ,ENCSR731AIB,ENCFF538KNQ,GRCh38,76.0,single-ended,Illumina NextSeq 500,"Bradley Bernstein, Broad",65360117.0
"effector_memory_CD4_positive,_alpha_beta_T_cell_grp1_rep1",H3K9me3,ENCBS110SZF,ENCSR750ZCV,ENCFF195RIM,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",13456153.0
"effector_memory_CD4_positive,_alpha_beta_T_cell_grp1_rep1",H3K4me1,ENCBS110SZF,ENCSR911BCA,ENCFF287HNS,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",6586626.0
"effector_memory_CD4_positive,_alpha_beta_T_cell_grp1_rep1",H3K27ac,ENCBS110SZF,ENCSR892HPQ,ENCFF158TBC,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",7352474.0
"effector_memory_CD4_positive,_alpha_beta_T_cell_grp1_rep1",H3K4me3,ENCBS110SZF,ENCSR291KBJ,ENCFF449WLP,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",9187569.0
"effector_memory_CD4_positive,_alpha_beta_T_cell_grp1_rep1",H3K27me3,ENCBS110SZF,ENCSR368ZJL,ENCFF294SFH,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",7741069.0
"effector_memory_CD4_positive,_alpha_beta_T_cell_grp1_rep1",H3K36me3,ENCBS110SZF,ENCSR610IIJ,ENCFF580GEX,GRCh38,36.0,single-ended,Illumina HiSeq 2000,"Bradley Bernstein, Broad",16650399.0
cardiac_muscle_cell_grp1_rep2,H3K9me3,ENCBS806KLM,ENCSR269ULZ,ENCFF767BAP,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",31877594.0
cardiac_muscle_cell_grp1_rep2,H3K4me3,ENCBS806KLM,ENCSR652QNW,ENCFF689CDA,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",49420284.0
cardiac_muscle_cell_grp1_rep2,RNA-seq,ENCBS806KLM,ENCSR379YAE,ENCFF314OZK,GRCh38,,single-ended,Illumina HiSeq 2000,"Thomas Gingeras, CSHL",
cardiac_muscle_cell_grp1_rep2,H3K27me3,ENCBS806KLM,ENCSR864LRY,ENCFF477SVI,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",51141971.0
cardiac_muscle_cell_grp1_rep2,H3K27ac,ENCBS806KLM,ENCSR000NPF,ENCFF686HUD,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",35133855.0
cardiac_muscle_cell_grp1_rep2,H3K36me3,ENCBS806KLM,ENCSR994NPK,ENCFF187TBV,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",67636990.0
cardiac_muscle_cell_grp1_rep2,H3K4me1,ENCBS806KLM,ENCSR276OLB,ENCFF880FIW,GRCh38,76.0,single-ended,Illumina HiSeq 2500,"Bradley Bernstein, Broad",41453678.0
cardiac_muscle_cell_grp1_rep2,DNase-seq,ENCBS806KLM,ENCSR842KCP,ENCFF852KZF,GRCh38,36.0,paired-ended,Illumina NextSeq 500,"John Stamatoyannopoulos, UW",109332504.0
UCSF_4_grp1_rep2,H3K27me3,ENCBS838AWQ,ENCSR485ZKB,ENCFF006ROR,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",20766543.0
UCSF_4_grp1_rep2,H3K4me3,ENCBS838AWQ,ENCSR595KPI,ENCFF277XLF,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",14455132.0
UCSF_4_grp1_rep2,H3K9me3,ENCBS838AWQ,ENCSR550GSE,ENCFF090ATX,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",16595807.0
UCSF_4_grp1_rep2,H3K4me1,ENCBS838AWQ,ENCSR615YKN,ENCFF996LAU,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",29916466.0
UCSF_4_grp1_rep2,H3K36me3,ENCBS838AWQ,ENCSR734QPK,ENCFF989JYT,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",22209921.0
UCSF_4_grp1_rep1,H3K9me3,ENCBS488VWE,ENCSR550GSE,ENCFF774LCC,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",12707980.0
UCSF_4_grp1_rep1,H3K4me1,ENCBS488VWE,ENCSR615YKN,ENCFF433EHJ,GRCh38,76.0,single-ended,Illumina HiSeq 2000,"Joseph Costello, UCSF",24863863.0
